	tournament	date	location	prize	category
0	 SHENZHEN Shenzhen Open	 30 Dec - 05 Jan (2019)	 CHINA	 $ 750,000	 International
1	 AUCKLAND ASB Classic	 31 Dec - 06 Jan (2019)	 NEW ZEALAND	 $ 250,000	 International
2	 BRISBANE Brisbane International	 31 Dec - 06 Jan (2019)	 AUSTRALIA	 $ 1,000,000	 Premier
3	 SYDNEY Sydney International	 07 Jan - 12 Jan (2019)	 AUSTRALIA	 $ 823,000	 Premier
4	 HOBART Hobart International	 07 Jan - 12 Jan (2019)	 AUSTRALIA	 $ 250,000	 International
5	 MELBOURNE Australian Open	 14 Jan - 26 Jan (2019)	 AUSTRALIA	 $ 21,438,038	 Grand Slam
6	 NEWPORT BEACH Oracle Challenger Series	 21 Jan - 27 Jan (2019)	 UNITED STATES	 $ 162,480	 125K
7	 HUA HIN Toyota Thailand Open presented by E@	 28 Jan - 03 Feb (2019)	 THAILAND	 $ 250,000	 International
8	 ST. PETERSBURG St. Petersburg Ladies Trophy	 28 Jan - 03 Feb (2019)	 RUSSIA	 $ 823,000	 Premier
9	 FED CUP GROUP 1 AMERICAS	 06 Feb - 08 Feb (2019)	 COLOMBIA	 $	 Grand Slam
10	 FED CUP GROUP 1 ASIA/OCEANIA	 06 Feb - 08 Feb (2019)	 KAZAKHSTAN	 $	 Grand Slam
11	 FED CUP GROUP 1 EVENT A EUROPE/AFRICA	 06 Feb - 09 Feb (2019)	 POLAND	 $	 Grand Slam
12	 FED CUP GROUP 1 EVENT B EUROPE/AFRICA	 06 Feb - 09 Feb (2019)	 GREAT BRITAIN	 $	 Grand Slam
13	 GROUP 1 PLAYOFFS AMERICAS	 09 Feb - 09 Feb (2019)	 COLOMBIA	 $	 Grand Slam
14	 FED CUP WORLD		 COLOMBIA		
15	 GROUP 1 PLAYOFFS ASIA/OCEANIA	 09 Feb - 09 Feb (2019)	 KAZAKHSTAN	 $	 Grand Slam
16	 GROUP 1 EVENT A PLAYOFFS EUROPE/AFRICA	 09 Feb - 09 Feb (2019)	 POLAND	 $	 Grand Slam
17	 GROUP 1 EVENT A PLAYOFFS EUROPE/AFRICA	 09 Feb - 09 Feb (2019)	 GREAT BRITAIN	 $	 Grand Slam
18	 DOHA Qatar Total Open 2019	 11 Feb - 16 Feb (2019)	 QATAR	 $ 916,131	 Premier
19	 DUBAI Dubai Duty Free Tennis Championships	 17 Feb - 23 Feb (2019)	 UNITED ARAB EMIRATES	 $ 2,828,000	 Premier 5
20	 BUDAPEST Hungarian Ladies Open	 18 Feb - 24 Feb (2019)	 HUNGARY	 $ 250,000	 International
